Date,Open,High,Low,Close,Adj_Close,Volume,Day 
2023-06-16,40.810001,41.043331,40.163334,40.323334,40.323334,85500,183
2023-06-20,40.139999,40.599998,40.009998,40.599998,40.599998,4800,184
2023-06-21,40.336666,40.556667,40.286667,40.453335,40.453335,8700,185
2023-06-22,40.523335,40.643333,40.439999,40.493332,40.493332,32100,186
2023-06-23,40.276669,40.276669,40.023335,40.046665,40.046665,3600,187
2023-06-26,40.126667,40.126667,39.493332,39.613335,39.613335,7200,188
2023-06-27,39.563332,39.666668,39.413334,39.463333,39.463333,6300,189
2023-06-28,39.619999,40.053333,39.619999,40.033333,40.033333,12000,190
2023-06-29,40.116669,40.223331,39.900002,39.956669,39.956669,20400,191
2023-06-30,40.553333,40.716667,40.446667,40.593334,40.593334,26700,192
2023-07-03,39.613335,39.796665,39.613335,39.796665,39.796665,4800,193
2023-07-05,39.686668,39.98,39.599998,39.830002,39.830002,8700,194
2023-07-06,39.27,39.333332,39.023335,39.25,39.25,6600,195
2023-07-07,39.523335,39.523335,39.146667,39.226665,39.226665,6000,196
2023-07-10,39.126667,40.083332,39.126667,40.056667,40.056667,7800,197
2023-07-11,40.176666,40.176666,39.689999,40.036667,40.036667,10500,198
2023-07-12,40.333332,40.333332,39.896667,40.046665,40.046665,15000,199
2023-07-13,40.223331,40.366669,40.136665,40.226665,40.226665,9000,200
2023-07-14,40.296665,40.393333,40.276669,40.393333,40.393333,15000,201
2023-07-17,40.310001,40.639999,40.169998,40.23,40.23,7300,202
2023-07-18,40.169998,40.189999,39.830002,40.02,40.02,9900,203
2023-07-19,40.080002,40.169998,39.77,39.810001,39.810001,9600,204
2023-07-20,39.669998,39.700001,39.279999,39.360001,39.360001,48900,205
2023-07-21,39.57,39.599998,39.310001,39.389999,39.389999,8300,206
2023-07-24,39.389999,39.389999,38.290001,38.439999,38.439999,14400,207
2023-07-25,38.380001,38.82,38.380001,38.470001,38.470001,93200,208
2023-07-26,38.34,38.450001,38.200001,38.34,38.34,6100,209
2023-07-27,38.509998,38.509998,37.919998,38.09,38.09,14900,210
2023-07-28,38.290001,38.889999,38.290001,38.810001,38.810001,5900,211
2023-07-31,38.84,38.84,38.400002,38.82,38.82,17500,212
2023-08-01,38.540001,38.599998,38.259998,38.529999,38.529999,29500,213
2023-08-02,38.130001,38.130001,37.5,37.560001,37.560001,25500,214
2023-08-03,37.400002,37.400002,36.990002,36.990002,36.990002,20300,215
2023-08-04,37.09,37.09,36.790001,36.900002,36.900002,8400,216
2023-08-07,36.75,36.75,35.799999,35.810001,35.810001,15000,217
2023-08-08,36,36.349998,35.84,36.060001,36.060001,19100,218
2023-08-09,35.98,36.439999,35.869999,36.099998,36.099998,21100,219
2023-08-10,36.150002,36.439999,35.919998,36.040001,36.040001,7000,220
